part,definition,root,plural,sg_class,pl_class
adj,short,fupi,,,
adj,big,kulu,,,
adj,small,ng’ono,,,
adj,long,tali,,,
adv,"coming, next",-akubwera,,,
adv,ago,-apita,,,
adv,"ever, never",-po,,,
adv,only,basi,,,
adv,the same,chimodzimodzi,,,
adv,day before yesterday,dzana,,,
adv,already,kale,,,
adv,often,kawiri kawiri,,,
adv,extremely,koopsya,,,
adv,behind,ku mbuyo,,,
adv,in front,ku tsogolo,,,
adv,from,kuchokera,,,
adv,west,kumadzulo,,,
adv,there,kumeneko,,,
adv,east,kummawa,,,
adv,north,kumpoto,,,
adv,uphill,kumtunda,,,
adv,downhill,kumunsi,,,
adv,south,kumwera,,,
adv,outside,kunja,,,
adv,far,kutali,,,
adv,in the past,m'buyomu,,,
adv,right,manja,,,
adv,left,manzere,,,
adv,unfortunately,matsoka,,,
adv,inside,mkati,,,
adv,in the way,mmene,,,
adv,late,mochedwa,,,
adv,"early, quick",mofulumira,,,
adv,such,monga,,,
adv,maybe,mwina,,,
adv,indeed,ndithu,,,
adv,even though,ngakale,,,
adv,near,pafupi,,,
adv,almost,pafupipufi,,,
adv,down,pansi,,,
adv,soon,posachedwa,,,
f,following,potsatira,,,
adv,future,tsogolo,,,
adv,day after tomorrow,unkucha,,,
adv,enough,zakwana,,,
conj,so,choncho,,,
conj,and then,kenaka,,,
conj,and then,kenaka,,,
conj,more than,kuposa,,,
conj,such as,monga ngati,,,
conj,for example,mwa chitsanzo,,,
conj,although,ngakhale,,,
conj,besides,pa mbali,,,
conj,since,popeza,,,
n,vaccine,katemera,katemera,1,1
n,father,bambo,abambo,1,2
n,dog,galu,agalu,1,2
n,grandfather,gogo,agogo,1,2
n,sister,mchemwali,achemwali,1,2
n,brother,mchimwene,achimwene,1,2
n,"king, chief",mfumu,afumu,1,2
n,wife,mkazi,akazi,1,2
n,farmer,mlimi,alimi,1,2
n,mother,mmayi,amayi,1,2
n,husband,mmuna,amuna,1,2
n,boy,mnyamata,anyamata,1,2
n,cat,mphaka,aphaka,1,2
n,soldier,msilikali,asilikali,1,2
n,girl,mtsikana,atsikana,1,2
n,child,mwana,ana,1,2
n,nurse,namwino,amwino,1,2
n,minister,nduna,aduna,1,2
n,gentleman,nzibambo,azibambo,1,2
n,lady,nzimayi,azimayi,1,2
n,shorts,kabudula,makabudula,1,6
n,luggage,katundu,makatundu,1,6
n,shyness,manyazi,,1,
n,rudeness,mwano,,1,
n,market,msika,misika,2,3
n,sand,mchenga,michenga,3,4
n,arm,mkono,mikono,3,4
n,bridge,mlatho,milatho,3,4
n,lip,mlomo,milomo,3,4
n,"fence, wall",mpanda,mipanda,3,4
n,chair,mpando,mipando,3,4
n,knife,mpeni,mipeni,3,4
n,clay pot,mphika,miphika,3,4
n,rice,mpunga,,3,4
n,road,msewu,misewu,3,4
n,market,msika,misika,3,4
n,cloud,mtambo,mitambo,3,4
n,cloud,mtambo,mitambo,3,4
n,tree,mtengo,mitengo,3,4
n,river,mtsinje,mitsinje,3,4
n,village,mudzi,midzi,3,4
n,courtcase,mulandu,milandu,3,4
n,garden,munda,minda,3,4
n,field,munda,mindi,3,4
n,head,mutu,mitu,3,4
n,stone,mwala,miyala,3,4
n,leg,mwendo,miyendo,3,4
n,line,mzere,mizere,3,4
n,city,mzinda,mizinda,3,4
n,lawn,kapinga,,3,
n,coffee,khofi,,3,
n,milk,mkaka,,3,
n,fire,moto,,3,
n,beer,mowa,,3,
n,beer,mowa,,3,
n,groundnut,mtedza,,3,
n,rain,mvula,,3,
n,tea,tiyi,,3,
n,wine,vinyo,,3,
n,electricity,magetsi,,4,
n,government,boma,maboma,5,6
n,bottle,botolo,mabotolo,5,6
n,book,bukhu,mabukhu,5,6
n,blanket,bulangete,mabulangete,5,6
n,spring,damu,madamu,5,6
n,swimming pool,damu losambira,,5,6
n,area,dela,madela,5,6
n,eye,diso,maso,5,6
n,flower,duwa,maluwa,5,6
n,hand,dzanja,manja,5,6
n,"country, world",dziko,maiko,5,6
n,egg,dzila,mazila,5,6
n,tooth,dzino,mano,5,6
n,question,funso,mafunso,5,6
n,court,khoti,makhoti,5,6
n,ear,khutu,makutu,5,6
n,orange,lalanje,malalanje,5,6
n,tongue,lilime,malime,5,6
n,word,liwu,mawu,5,6
n,mango,mango,mango,5,6
n,avocado,peyala,mapeyala,5,6
n,porridge,phala,,5,6
n,foot,phazi,maphazi,5,6
n,mountain,phiri,mapiri,5,6
n,holiday,tchuti,matchuti,5,6
n,cotton,thonje,,5,6
n,hair,tsitsi,matsitsi,5,6
n,pumpkin,ungu,maungu,5,6
n,watermelon,vembe,mavembe,5,6
n,dust,fumbi,,5,
n,sleep,tulo,,5,
n,glasses,magalasi,,6,
n,parents,makolo,,6,
n,shirt,malaya,,6,
n,funeral,maliro,,6,
n,place,malo,,6,
n,malaria,malungo,,6,
n,medicine,mankhwala,,6,
n,"vegetables, leaves",masamba,,6,
n,maths,masamu,,6,
n,trousers,matalawza,,6,
n,trousers,matarawza,,6,
n,church,tchalitchi,matchalitchi,7,6
n,food,chakudya,zakudya,7,8
n,finger,chala,zala,7,8
n,lover,chibwenzi,zibwenzi,7,8
n,region,chigawo,zigawo,7,8
n,bag,chikwama,zikwama,7,8
n,signpost,chikwangwani,zikwangwani,7,8
n,beast,chilombo,zilombo,7,8
n,toilet,chimbuzi,zimbuzi,7,8
n,cassava,chinangwa,zinangwa,7,8
n,language,chinenero,zinenero,7,8
n,language,chinenero,zinenero,7,8
n,rope,chingwe,zingwe,7,8
n,thing,chinthu,zinthu,7,8
n,fruit,chipatso,zipatso,7,8
n,room,chipinda,zipinda,7,8
n,parlour,chipinda chocheza,,7,8
n,bedroom,chipinda chogona,,7,8
n,living room,chipinda chokhala,,7,8
n,kitchen,chipinda chophika,,7,8
n,washroom,chipinda chosamba,,7,8
n,island,chisumbu,zisumbu,7,8
n,chitenje,chitenje,zitenje,7,8
n,door,chitseko,zitseko,7,8
n,error,cholakwika,zolakwika,7,8
n,result,chotsatira,zotsatira,7,8
n,"wealth, economy",chuma,,7,
n,clothes,zovala,,8,
n,garlic,adyo,maadyo,9,6
n,onion,anyezi,maanyezi,9,6
n,bed,bedi,mabedi,9,6
n,boat,bwato,mabwato,9,6
n,tankshirt,gwanda,magwanda,9,6
n,letter,kalata,makalata,9,6
n,office,ofesi,maofesi,9,6
n,hour,ola,maola,9,6
n,pair,peyala,mapeyala,9,6
n,shirt,shati,mashati,9,6
n,station,siteji,masiteji,9,6
n,glass,tambula,,9,6
n,tomato,tomato,tomato,9,6
n,pepper,tsabola,matsabola,9,6
n,window,windo,mawindo,9,6
n,mouth,kamwa,makamwa,9,10
n,bird,mbalame,mbalame,9,10
n,plate,mbale,,9,10
n,sweet potato,mbatata,mbatata,9,10
n,potato,mbatatesi,mbatatesi,9,10
n,flag,mbendera,mbendera,9,10
n,"crop, plant",mbewu,mbewu,9,10
n,belly,mimba,mimba,9,10
n,sugarcane,mnzimbe,mnzimbe,9,10
n,mat,mphasa,mphasa,9,10
n,nose,mphuno,mphuno,9,10
n,hippopotamus,mvuu,mvuu,9,10
n,airplane,ndege,ndege,9,10
n,relish,ndiwo,ndiwo,9,10
n,crocodile,ng'ona,ng'ona,9,10
n,debt,ngongole,ngongole,9,10
n,bicycle,njinga,njinga,9,10
